País,Coffee type,Total_production ,Year
Angola,Robusta/Arabica,3000000.0,1990
Bolivia (Plurinational State of),Arabica,7380000.0,1990
Brazil,Arabica/Robusta,1637160000.0,1990
Burundi,Arabica/Robusta,29220000.0,1990
Ecuador,Arabica/Robusta,90240000.0,1990
Indonesia,Robusta/Arabica,446460000.0,1990
Madagascar,Robusta,58920000.0,1990
Malawi,Arabica,6300000.0,1990
Papua New Guinea,Arabica/Robusta,57780000.0,1990
Paraguay,Arabica,7860000.0,1990
Peru,Arabica,56220000.0,1990
Rwanda,Arabica,32100000.0,1990
Timor-Leste,Arabica,0.0,1990
Zimbabwe,Arabica,15120000.0,1990
Congo,Robusta,180000.0,1990
Cuba,Arabica,24840000.0,1990
Dominican Republic,Arabica/Robusta,52800000.0,1990
Haiti,Arabica,23580000.0,1990
Philippines,Robusta/Arabica,58440000.0,1990
Tanzania,Arabica/Robusta,55920000.0,1990
Zambia,Arabica,1380000.0,1990
Cameroon,Robusta/Arabica,100920000.0,1990
Central African Republic,Robusta,10500000.0,1990
Colombia,Arabica,863760000.0,1990
Costa Rica,Arabica,153720000.0,1990
Côte d'Ivoire,Robusta,176400000.0,1990
Democratic Republic of Congo,Robusta/Arabica,94800000.0,1990
El Salvador,Arabica,147900000.0,1990
Equatorial Guinea,Robusta,240000.0,1990
Ethiopia,Arabica,174540000.0,1990
Gabon,Robusta,180000.0,1990
Ghana,Robusta,2280000.0,1990
Guatemala,Arabica/Robusta,196260000.0,1990
Guinea,Robusta,2640000.0,1990
Guyana,Robusta,0.0,1990
Honduras,Arabica,94080000.0,1990
India,Robusta/Arabica,169740000.0,1990
Jamaica,Arabica,1380000.0,1990
Kenya,Arabica,89100000.0,1990
Lao People's Democratic Republic,Robusta,0.0,1990
Liberia,Robusta,180000.0,1990
Mexico,Arabica/Robusta,280440000.0,1990
Nepal,Arabica,0.0,1990
Nicaragua,Arabica,27660000.0,1990
Nigeria,Robusta,1740000.0,1990
Panama,Arabica,12900000.0,1990
Sierra Leone,Robusta,2580000.0,1990
Sri Lanka,Robusta/Arabica,5760000.0,1990
Thailand,Robusta/Arabica,45420000.0,1990
Togo,Robusta,9660000.0,1990
Trinidad & Tobago,Robusta,900000.0,1990
Uganda,Robusta/Arabica,117300000.0,1990
Venezuela,Arabica,67320000.0,1990
Viet Nam,Robusta/Arabica,78600000.0,1990
Yemen,Arabica,0.0,1990
Angola,Robusta/Arabica,4740000.0,1991
Bolivia (Plurinational State of),Arabica,6240000.0,1991
Brazil,Arabica/Robusta,1637580000.0,1991
Burundi,Arabica/Robusta,40020000.0,1991
Ecuador,Arabica/Robusta,127440000.0,1991
Indonesia,Robusta/Arabica,509580000.0,1991
Madagascar,Robusta,55980000.0,1991
Malawi,Arabica,7440000.0,1991
Papua New Guinea,Arabica/Robusta,44820000.0,1991
Paraguay,Arabica,4800000.0,1991
Peru,Arabica,72000000.0,1991
Rwanda,Arabica,29040000.0,1991
Timor-Leste,Arabica,0.0,1991
Zimbabwe,Arabica,12060000.0,1991
Congo,Robusta,180000.0,1991
Cuba,Arabica,18120000.0,1991
Dominican Republic,Arabica/Robusta,19260000.0,1991
Haiti,Arabica,27780000.0,1991
Philippines,Robusta/Arabica,61080000.0,1991
Tanzania,Arabica/Robusta,47400000.0,1991
Zambia,Arabica,1740000.0,1991
Cameroon,Robusta/Arabica,103560000.0,1991
Central African Republic,Robusta,7500000.0,1991
Colombia,Arabica,1078800000.0,1991
Costa Rica,Arabica,165600000.0,1991
Côte d'Ivoire,Robusta,247740000.0,1991
Democratic Republic of Congo,Robusta/Arabica,73800000.0,1991
El Salvador,Arabica,131880000.0,1991
Equatorial Guinea,Robusta,180000.0,1991
Ethiopia,Arabica,175500000.0,1991
Gabon,Robusta,120000.0,1991
Ghana,Robusta,4560000.0,1991
Guatemala,Arabica/Robusta,209820000.0,1991
Guinea,Robusta,5460000.0,1991
Guyana,Robusta,0.0,1991
Honduras,Arabica,139320000.0,1991
India,Robusta/Arabica,180000000.0,1991
Jamaica,Arabica,2340000.0,1991
Kenya,Arabica,90840000.0,1991
Lao People's Democratic Republic,Robusta,0.0,1991
Liberia,Robusta,180000.0,1991
Mexico,Arabica/Robusta,283620000.0,1991
Nepal,Arabica,0.0,1991
Nicaragua,Arabica,42420000.0,1991
Nigeria,Robusta,2640000.0,1991
Panama,Arabica,11580000.0,1991
Sierra Leone,Robusta,3240000.0,1991
Sri Lanka,Robusta/Arabica,4920000.0,1991
Thailand,Robusta/Arabica,88140000.0,1991
Togo,Robusta,25980000.0,1991
Trinidad & Tobago,Robusta,1080000.0,1991
Uganda,Robusta/Arabica,125280000.0,1991
Venezuela,Arabica,56460000.0,1991
Viet Nam,Robusta/Arabica,86280000.0,1991
Yemen,Arabica,0.0,1991
Angola,Robusta/Arabica,4680000.0,1992
Bolivia (Plurinational State of),Arabica,7200000.0,1992
Brazil,Arabica/Robusta,2076180000.0,1992
Burundi,Arabica/Robusta,37200000.0,1992
Ecuador,Arabica/Robusta,71100000.0,1992
Indonesia,Robusta/Arabica,334140000.0,1992
Madagascar,Robusta,67320000.0,1992
Malawi,Arabica,8220000.0,1992
Papua New Guinea,Arabica/Robusta,54000000.0,1992
Paraguay,Arabica,3240000.0,1992
Peru,Arabica,105720000.0,1992
Rwanda,Arabica,38340000.0,1992
Timor-Leste,Arabica,0.0,1992
Zimbabwe,Arabica,4680000.0,1992
Congo,Robusta,180000.0,1992
Cuba,Arabica,17040000.0,1992
Dominican Republic,Arabica/Robusta,38280000.0,1992
Haiti,Arabica,30000000.0,1992
Philippines,Robusta/Arabica,55200000.0,1992
Tanzania,Arabica/Robusta,47160000.0,1992
Zambia,Arabica,1740000.0,1992
Cameroon,Robusta/Arabica,15600000.0,1992
Central African Republic,Robusta,8040000.0,1992
Colombia,Arabica,896820000.0,1992
Costa Rica,Arabica,179880000.0,1992
Côte d'Ivoire,Robusta,134760000.0,1992
Democratic Republic of Congo,Robusta/Arabica,70800000.0,1992
El Salvador,Arabica,180060000.0,1992
Equatorial Guinea,Robusta,120000.0,1992
Ethiopia,Arabica,109500000.0,1992
Gabon,Robusta,180000.0,1992
Ghana,Robusta,2220000.0,1992
Guatemala,Arabica/Robusta,259080000.0,1992
Guinea,Robusta,4560000.0,1992
Guyana,Robusta,0.0,1992
Honduras,Arabica,115080000.0,1992
India,Robusta/Arabica,169380000.0,1992
Jamaica,Arabica,1560000.0,1992
Kenya,Arabica,78960000.0,1992
Lao People's Democratic Republic,Robusta,0.0,1992
Liberia,Robusta,180000.0,1992
Mexico,Arabica/Robusta,204060000.0,1992
Nepal,Arabica,0.0,1992
Nicaragua,Arabica,32820000.0,1992
Nigeria,Robusta,2940000.0,1992
Panama,Arabica,11820000.0,1992
Sierra Leone,Robusta,2340000.0,1992
Sri Lanka,Robusta/Arabica,3180000.0,1992
Thailand,Robusta/Arabica,75300000.0,1992
Togo,Robusta,5160000.0,1992
Trinidad & Tobago,Robusta,840000.0,1992
Uganda,Robusta/Arabica,131100000.0,1992
Venezuela,Arabica,72900000.0,1992
Viet Nam,Robusta/Arabica,140400000.0,1992
Yemen,Arabica,0.0,1992
Angola,Robusta/Arabica,1980000.0,1993
Bolivia (Plurinational State of),Arabica,3060000.0,1993
Brazil,Arabica/Robusta,1690020000.0,1993
Burundi,Arabica/Robusta,23580000.0,1993
Ecuador,Arabica/Robusta,124140000.0,1993
Indonesia,Robusta/Arabica,404580000.0,1993
Madagascar,Robusta,26520000.0,1993
Malawi,Arabica,3720000.0,1993
Papua New Guinea,Arabica/Robusta,61140000.0,1993
Paraguay,Arabica,4020000.0,1993
Peru,Arabica,39900000.0,1993
Rwanda,Arabica,26640000.0,1993
Timor-Leste,Arabica,0.0,1993
Zimbabwe,Arabica,720000.0,1993
Congo,Robusta,180000.0,1993
Cuba,Arabica,17100000.0,1993
Dominican Republic,Arabica/Robusta,36240000.0,1993
Haiti,Arabica,27060000.0,1993
Philippines,Robusta/Arabica,52500000.0,1993
Tanzania,Arabica/Robusta,44040000.0,1993
Zambia,Arabica,1620000.0,1993
Cameroon,Robusta/Arabica,40980000.0,1993
Central African Republic,Robusta,9960000.0,1993
Colombia,Arabica,685320000.0,1993
Costa Rica,Arabica,141540000.0,1993
Côte d'Ivoire,Robusta,137580000.0,1993
Democratic Republic of Congo,Robusta/Arabica,58800000.0,1993
El Salvador,Arabica,142680000.0,1993
Equatorial Guinea,Robusta,0.0,1993
Ethiopia,Arabica,178020000.0,1993
Gabon,Robusta,180000.0,1993
Ghana,Robusta,2700000.0,1993
Guatemala,Arabica/Robusta,212160000.0,1993
Guinea,Robusta,3840000.0,1993
Guyana,Robusta,0.0,1993
Honduras,Arabica,109740000.0,1993
India,Robusta/Arabica,211980000.0,1993
Jamaica,Arabica,2040000.0,1993
Kenya,Arabica,79680000.0,1993
Lao People's Democratic Republic,Robusta,0.0,1993
Liberia,Robusta,300000.0,1993
Mexico,Arabica/Robusta,301380000.0,1993
Nepal,Arabica,0.0,1993
Nicaragua,Arabica,42360000.0,1993
Nigeria,Robusta,2700000.0,1993
Panama,Arabica,8520000.0,1993
Sierra Leone,Robusta,2220000.0,1993
Sri Lanka,Robusta/Arabica,3240000.0,1993
Thailand,Robusta/Arabica,76500000.0,1993
Togo,Robusta,11700000.0,1993
Trinidad & Tobago,Robusta,960000.0,1993
Uganda,Robusta/Arabica,188520000.0,1993
Venezuela,Arabica,79980000.0,1993
Viet Nam,Robusta/Arabica,181200000.0,1993
Yemen,Arabica,0.0,1993
Angola,Robusta/Arabica,4620000.0,1994
Bolivia (Plurinational State of),Arabica,7020000.0,1994
Brazil,Arabica/Robusta,1691520000.0,1994
Burundi,Arabica/Robusta,39840000.0,1994
Ecuador,Arabica/Robusta,142560000.0,1994
Indonesia,Robusta/Arabica,322080000.0,1994
Madagascar,Robusta,38460000.0,1994
Malawi,Arabica,5040000.0,1994
Papua New Guinea,Arabica/Robusta,68340000.0,1994
Paraguay,Arabica,1500000.0,1994
Peru,Arabica,70740000.0,1994
Rwanda,Arabica,1320000.0,1994
Timor-Leste,Arabica,0.0,1994
Zimbabwe,Arabica,6360000.0,1994
Congo,Robusta,480000.0,1994
Cuba,Arabica,17040000.0,1994
Dominican Republic,Arabica/Robusta,43800000.0,1994
Haiti,Arabica,27000000.0,1994
Philippines,Robusta/Arabica,52620000.0,1994
Tanzania,Arabica/Robusta,40740000.0,1994
Zambia,Arabica,1260000.0,1994
Cameroon,Robusta/Arabica,24360000.0,1994
Central African Republic,Robusta,15000000.0,1994
Colombia,Arabica,777840000.0,1994
Costa Rica,Arabica,148920000.0,1994
Côte d'Ivoire,Robusta,180360000.0,1994
Democratic Republic of Congo,Robusta/Arabica,77880000.0,1994
El Salvador,Arabica,137580000.0,1994
Equatorial Guinea,Robusta,180000.0,1994
Ethiopia,Arabica,165780000.0,1994
Gabon,Robusta,480000.0,1994
Ghana,Robusta,3420000.0,1994
